Stature,Head breadth,Head depth,Head circumference,Face length
1744.0,161.0,206.0,591.0,119.0
1735.0,154.0,200.0,581.0,116.0
1982.0,163.0,204.0,598.0,122.0
1722.0,156.0,204.0,589.0,131.0
1791.0,149.0,196.0,563.0,124.0
1720.0,159.0,202.0,591.0,116.0
1775.0,155.0,213.0,598.0,121.0
1801.0,162.0,204.0,605.0,123.0
1837.0,162.0,194.0,584.0,121.0
1702.0,141.0,182.0,540.0,116.0
1791.0,152.0,209.0,587.0,125.0
1878.0,154.0,210.0,600.0,120.0
1676.0,150.0,201.0,585.0,121.0
1740.0,163.0,187.0,566.0,114.0
1883.0,150.0,208.0,586.0,122.0
1787.0,154.0,203.0,586.0,128.0
1822.0,157.0,193.0,565.0,122.0
1645.0,159.0,205.0,595.0,118.0
1908.0,154.0,214.0,605.0,127.0
1645.0,140.0,192.0,558.0,120.0
1755.0,158.0,187.0,561.0,127.0
1816.0,157.0,199.0,576.0,129.0
1735.0,152.0,199.0,571.0,116.0
1780.0,164.0,187.0,572.0,123.0
1625.0,147.0,191.0,562.0,114.0
1831.0,158.0,204.0,593.0,134.0
1760.0,150.0,203.0,583.0,128.0
1630.0,152.0,191.0,559.0,113.0
1673.0,167.0,201.0,607.0,117.0
1840.0,149.0,204.0,581.0,127.0
1842.0,167.0,209.0,607.0,119.0
1591.0,149.0,186.0,555.0,114.0
1683.0,155.0,188.0,548.0,119.0
1818.0,147.0,192.0,563.0,118.0
1799.0,152.0,205.0,580.0,128.0
1730.0,152.0,194.0,567.0,124.0
1805.0,156.0,195.0,576.0,115.0
1750.0,152.0,194.0,563.0,115.0
1981.0,149.0,202.0,576.0,123.0
1753.0,156.0,202.0,585.0,115.0
1631.0,163.0,200.0,581.0,109.0
1775.0,147.0,203.0,564.0,117.0
1557.0,140.0,188.0,563.0,109.0
1739.0,148.0,206.0,586.0,113.0
1842.0,152.0,209.0,580.0,116.0
1737.0,148.0,196.0,565.0,108.0
1749.0,155.0,198.0,581.0,127.0
1857.0,160.0,201.0,597.0,115.0
1901.0,150.0,210.0,591.0,123.0
1925.0,152.0,207.0,595.0,123.0
1814.0,160.0,210.0,600.0,122.0
1810.0,155.0,196.0,573.0,119.0
1710.0,164.0,190.0,581.0,118.0
1710.0,150.0,195.0,564.0,125.0
