Stature,Head breadth,Head depth,Head circumference,Face length
1745.0,161.0,195.0,585.0,134.0
1537.0,145.0,186.0,541.0,104.0
1621.0,156.0,193.0,570.0,126.0
1660.0,142.0,194.0,545.0,120.0
1601.0,150.0,188.0,559.0,111.0
1730.0,151.0,198.0,564.0,122.0
1522.0,145.0,182.0,538.0,110.0
1595.0,141.0,181.0,509.0,101.0
1527.0,141.0,190.0,546.0,122.0
1537.0,139.0,175.0,514.0,102.0
1845.0,155.0,187.0,562.0,115.0
1570.0,145.0,179.0,533.0,113.0
1610.0,155.0,185.0,549.0,114.0
1629.0,151.0,191.0,562.0,116.0
1818.0,171.0,195.0,589.0,117.0
1505.0,154.0,182.0,552.0,109.0
1570.0,157.0,192.0,570.0,121.0
1828.0,158.0,202.0,588.0,143.0
1465.0,148.0,178.0,510.0,113.0
1622.0,150.0,190.0,563.0,120.0
1683.0,153.0,196.0,570.0,122.0
1541.0,141.0,184.0,524.0,104.0
1582.0,152.0,194.0,568.0,100.0
1691.0,148.0,184.0,545.0,116.0
1789.0,162.0,202.0,590.0,121.0
1796.0,150.0,192.0,548.0,115.0
1668.0,162.0,190.0,555.0,124.0
1644.0,151.0,199.0,571.0,116.0
1650.0,156.0,186.0,542.0,124.0
1704.0,143.0,188.0,555.0,121.0
1664.0,144.0,190.0,532.0,104.0
1654.0,140.0,187.0,550.0,114.0
1739.0,154.0,195.0,567.0,115.0
1594.0,148.0,181.0,539.0,112.0
1596.0,142.0,193.0,554.0,107.0
1724.0,155.0,192.0,565.0,129.0
1765.0,146.0,193.0,564.0,128.0
1675.0,148.0,192.0,555.0,114.0
1790.0,166.0,190.0,575.0,127.0
1640.0,155.0,186.0,557.0,116.0
1657.0,147.0,192.0,568.0,120.0
1594.0,147.0,189.0,547.0,101.0
1522.0,156.0,190.0,560.0,115.0
1558.0,151.0,190.0,563.0,112.0
1577.0,140.0,197.0,562.0,111.0
1625.0,144.0,183.0,545.0,111.0
1580.0,147.0,190.0,551.0,116.0
1568.0,146.0,185.0,540.0,111.0
1711.0,158.0,205.0,574.0,116.0
1645.0,153.0,181.0,555.0,111.0
1728.0,144.0,193.0,549.0,114.0
1613.0,148.0,183.0,542.0,115.0
1723.0,152.0,185.0,542.0,115.0
1657.0,149.0,195.0,566.0,111.0
1705.0,156.0,185.0,562.0,120.0
1777.0,147.0,198.0,560.0,127.0
1669.0,146.0,196.0,560.0,110.0
1556.0,145.0,197.0,564.0,120.0
1640.0,146.0,187.0,560.0,118.0
1507.0,144.0,196.0,549.0,110.0
1630.0,142.0,176.0,531.0,115.0
1690.0,157.0,180.0,557.0,106.0
1785.0,157.0,192.0,567.0,113.0
1634.0,145.0,186.0,546.0,114.0
1729.0,154.0,200.0,576.0,119.0
1691.0,156.0,200.0,570.0,125.0
1717.0,163.0,199.0,583.0,135.0
1739.0,152.0,205.0,576.0,120.0
1658.0,155.0,195.0,564.0,120.0
1578.0,148.0,180.0,541.0,113.0
1916.0,152.0,205.0,590.0,127.0
1794.0,171.0,191.0,581.0,116.0
1735.0,164.0,190.0,580.0,133.0
1537.0,145.0,190.0,551.0,101.0
1598.0,144.0,190.0,560.0,101.0
1560.0,145.0,184.0,533.0,105.0
1614.0,153.0,185.0,547.0,116.0
1529.0,147.0,185.0,541.0,110.0
1743.0,156.0,193.0,557.0,128.0
1524.0,144.0,181.0,537.0,105.0
1837.0,151.0,187.0,548.0,123.0
1835.0,158.0,196.0,576.0,119.0
1578.0,156.0,171.0,532.0,118.0
1690.0,140.0,182.0,542.0,110.0
1658.0,149.0,188.0,556.0,123.0
1517.0,148.0,181.0,535.0,107.0
1625.0,152.0,189.0,558.0,116.0
1631.0,152.0,187.0,570.0,108.0
1525.0,151.0,181.0,543.0,111.0
1792.0,155.0,197.0,585.0,119.0
1708.0,153.0,182.0,561.0,103.0
1561.0,148.0,180.0,545.0,98.0
1650.0,143.0,183.0,532.0,113.0
1754.0,152.0,200.0,571.0,121.0
1615.0,145.0,184.0,541.0,117.0
1587.0,150.0,184.0,550.0,111.0
1790.0,162.0,209.0,603.0,122.0
1798.0,155.0,195.0,570.0,121.0
1736.0,157.0,183.0,545.0,112.0
1624.0,145.0,185.0,538.0,120.0
1682.0,160.0,192.0,565.0,113.0
1598.0,145.0,182.0,572.0,110.0
1725.0,151.0,192.0,557.0,114.0
1638.0,140.0,181.0,528.0,116.0
1477.0,141.0,175.0,512.0,109.0
1764.0,157.0,205.0,580.0,122.0
1591.0,145.0,178.0,545.0,119.0
1681.0,151.0,196.0,580.0,116.0
1723.0,150.0,200.0,563.0,124.0
1885.0,147.0,201.0,564.0,127.0
1866.0,161.0,199.0,571.0,138.0
1783.0,169.0,203.0,591.0,136.0
1685.0,157.0,185.0,552.0,115.0
1630.0,151.0,187.0,545.0,111.0
1614.0,145.0,183.0,548.0,119.0
1640.0,152.0,178.0,531.0,121.0
1488.0,147.0,190.0,543.0,109.0
1706.0,153.0,182.0,556.0,123.0
1640.0,159.0,198.0,574.0,123.0
1567.0,152.0,187.0,545.0,117.0
1791.0,155.0,199.0,570.0,124.0
1815.0,167.0,193.0,570.0,121.0
1723.0,164.0,210.0,600.0,130.0
1640.0,152.0,195.0,556.0,130.0
1655.0,165.0,199.0,580.0,116.0
1654.0,148.0,191.0,580.0,114.0
1609.0,141.0,181.0,533.0,117.0
1705.0,148.0,183.0,545.0,118.0
1687.0,146.0,190.0,555.0,113.0
1698.0,155.0,201.0,581.0,129.0
1843.0,154.0,200.0,580.0,131.0
1520.0,146.0,172.0,523.0,110.0
1570.0,143.0,190.0,546.0,111.0
1630.0,157.0,189.0,552.0,131.0
1678.0,156.0,195.0,575.0,117.0
1700.0,156.0,190.0,565.0,119.0
1694.0,146.0,185.0,535.0,110.0
1665.0,154.0,191.0,555.0,115.0
1522.0,155.0,186.0,560.0,103.0
1645.0,155.0,199.0,575.0,121.0
1727.0,153.0,209.0,579.0,136.0
1793.0,150.0,195.0,550.0,121.0
1650.0,141.0,177.0,533.0,107.0
1779.0,156.0,203.0,585.0,122.0
1704.0,146.0,197.0,560.0,125.0
1612.0,146.0,185.0,545.0,112.0
1745.0,150.0,205.0,590.0,122.0
1778.0,155.0,202.0,595.0,119.0
1543.0,150.0,177.0,545.0,107.0
1807.0,156.0,200.0,588.0,124.0
1678.0,148.0,193.0,548.0,129.0
1608.0,144.0,182.0,539.0,120.0
1723.0,148.0,194.0,560.0,118.0
1674.0,146.0,197.0,555.0,121.0
1605.0,161.0,181.0,560.0,104.0
1565.0,148.0,177.0,535.0,104.0
1541.0,156.0,187.0,557.0,106.0
