"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2575.0,2089.0,1918.0,824.0,136.0,250.0,574.0,906.0,1039.0,846.0,477.0,370.0,372.0,261.0,419.0,593.0,725.0,1265.0,223.0,17.0,112.0,31.0,91.0,88.3,60.0
2132.0,1779.0,1652.0,676.0,158.0,202.0,474.0,781.0,904.0,761.0,478.0,372.0,416.0,236.0,358.0,557.0,670.0,1111.0,182.0,14.0,97.0,27.0,71.0,81.4,46.0
2310.0,1913.0,1792.0,723.0,122.0,171.0,552.0,813.0,936.0,795.0,391.0,333.0,325.0,209.0,391.0,568.0,706.0,1214.0,196.0,16.0,104.0,27.0,77.0,64.8,58.0
2130.0,1808.0,1766.0,722.0,133.0,213.0,509.0,805.0,931.0,757.0,442.0,318.0,333.0,221.0,348.0,511.0,626.0,1097.0,188.0,17.0,99.0,27.0,71.0,69.0,44.0
2389.0,1930.0,1783.0,821.0,143.0,286.0,535.0,885.0,1004.0,788.0,386.0,338.0,349.0,231.0,392.0,535.0,646.0,1186.0,192.0,15.0,102.0,26.0,76.0,70.3,52.0
2194.0,1835.0,1715.0,738.0,127.0,251.0,487.0,836.0,963.0,785.0,407.0,332.0,339.0,206.0,385.0,484.0,618.0,1113.0,194.0,14.0,97.0,26.0,80.0,65.2,50.0
2005.0,1704.0,1589.0,746.0,132.0,285.0,461.0,801.0,915.0,662.0,420.0,332.0,319.0,208.0,343.0,453.0,579.0,992.0,174.0,17.0,96.0,28.0,66.0,61.5,42.0
2103.0,1739.0,1619.0,674.0,137.0,224.0,450.0,780.0,917.0,733.0,425.0,323.0,333.0,198.0,348.0,515.0,619.0,1055.0,178.0,14.0,104.0,26.0,73.0,64.5,42.0
2191.0,1848.0,1733.0,733.0,132.0,243.0,490.0,832.0,959.0,755.0,406.0,312.0,324.0,209.0,365.0,527.0,641.0,1092.0,186.0,14.0,103.0,26.0,71.0,66.3,55.0
2119.0,1764.0,1644.0,734.0,131.0,259.0,475.0,831.0,939.0,717.0,385.0,327.0,338.0,216.0,347.0,478.0,606.0,1054.0,200.0,13.0,116.0,26.0,79.0,66.0,54.0
2198.0,1851.0,1736.0,751.0,133.0,235.0,516.0,803.0,947.0,780.0,405.0,341.0,340.0,234.0,377.0,535.0,663.0,1136.0,193.0,13.0,102.0,29.0,76.0,70.7,50.0
2011.0,1680.0,1566.0,651.0,133.0,189.0,462.0,737.0,850.0,725.0,396.0,315.0,352.0,247.0,348.0,507.0,610.0,1045.0,189.0,13.0,94.0,24.0,78.0,64.1,40.0
2317.0,1894.0,1772.0,753.0,132.0,218.0,535.0,827.0,952.0,846.0,445.0,332.0,344.0,233.0,392.0,515.0,646.0,1164.0,203.0,14.0,104.0,27.0,77.0,70.7,44.0
2125.0,1790.0,1676.0,735.0,145.0,275.0,460.0,864.0,977.0,753.0,419.0,330.0,345.0,223.0,352.0,482.0,595.0,1025.0,187.0,14.0,106.0,28.0,74.0,73.4,52.0
