Stature,Arm length,Shoulder breadth (bi-deltoid),Head breadth,Head depth,Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Body mass,Crotch height,Thigh circumference,Face length,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Bigonial breadth,Bitragion breadth,Nasal root protrusion,Relative Nasal Tip Protrusion
1922.0,666.0,502.0,152.0,211.0,595.0,534.0,1177.0,1040.0,1085.0,106.3,904.0,608.0,131.0,26.584,51.764,43.971,23.023,37.335,148.33,159.116,17.743,44.477
1650.0,566.0,415.0,157.0,195.0,575.0,444.0,1051.0,836.0,1023.0,74.5,756.0,633.0,125.0,27.154,54.105,47.45,22.159,39.651,118.308,162.082,15.521,40.956
1840.0,688.0,458.0,153.0,206.0,594.0,498.0,970.0,877.0,989.0,79.5,920.0,552.0,116.0,28.406,55.748,46.32,21.4,41.03,127.674,148.345,16.615,38.387
1954.0,671.0,465.0,152.0,200.0,564.0,515.0,979.0,980.0,1158.0,99.4,918.0,706.0,121.0,26.522,51.8,40.376,20.411,35.951,114.525,147.294,15.633,39.404
1767.0,583.0,422.0,149.0,186.0,553.0,430.0,945.0,749.0,1022.0,68.3,840.0,601.0,111.0,26.452,47.454,41.069,20.019,32.557,117.07,147.648,12.038,42.185
1770.0,632.0,435.0,149.0,192.0,562.0,457.0,963.0,748.0,1035.0,69.8,871.0,599.0,109.0,26.584,57.931,49.778,20.069,35.547,114.633,152.381,13.623,34.644
1652.0,588.0,480.0,161.0,192.0,569.0,491.0,1048.0,970.0,1091.0,85.5,785.0,651.0,117.0,26.995,54.401,43.239,19.261,42.934,132.562,154.556,13.855,35.406
1747.0,583.0,439.0,144.0,183.0,534.0,435.0,947.0,892.0,961.0,71.7,788.0,513.0,119.0,25.351,54.596,47.005,21.889,40.215,122.405,144.852,15.941,40.092
1948.0,654.0,451.0,151.0,202.0,585.0,455.0,1046.0,984.0,1228.0,103.4,906.0,696.0,121.0,26.591,54.934,45.547,20.858,35.425,129.467,148.686,13.524,37.968
1737.0,565.0,448.0,150.0,203.0,569.0,439.0,1004.0,796.0,1037.0,75.4,829.0,597.0,115.0,23.544,50.51,41.258,19.608,34.08,108.898,144.799,13.267,38.819
1674.0,620.0,428.0,151.0,192.0,548.0,435.0,977.0,788.0,1087.0,71.3,792.0,623.0,120.0,22.571,46.058,40.893,21.292,33.089,113.941,145.604,14.055,46.23
1660.0,606.0,447.0,142.0,192.0,540.0,445.0,1191.0,1099.0,1135.0,89.3,778.0,648.0,115.0,26.458,47.988,40.237,20.707,37.536,117.421,147.272,13.352,43.152
1624.0,592.0,475.0,146.0,187.0,564.0,490.0,1266.0,1271.0,1168.0,114.0,712.0,679.0,113.0,26.406,50.684,42.544,21.229,35.161,135.144,163.48,12.902,41.885
1786.0,615.0,431.0,159.0,184.0,555.0,483.0,883.0,880.0,985.0,72.0,853.0,541.0,121.0,27.293,53.895,44.134,18.548,46.405,124.761,153.305,9.114,34.415
1594.0,524.0,400.0,142.0,181.0,525.0,429.0,991.0,842.0,993.0,63.3,732.0,573.0,109.0,25.665,52.826,43.562,18.158,36.291,108.729,142.877,11.305,34.373
1592.0,531.0,421.0,145.0,178.0,530.0,415.0,969.0,731.0,925.0,54.9,704.0,550.0,110.0,23.774,49.588,41.268,19.149,32.883,108.747,138.094,13.644,38.617
1705.0,577.0,407.0,142.0,189.0,548.0,417.0,995.0,800.0,1024.0,67.0,815.0,565.0,109.0,24.571,49.661,43.355,18.841,32.278,105.413,142.408,13.115,37.94
1770.0,634.0,452.0,148.0,190.0,558.0,437.0,1010.0,896.0,1122.0,82.9,849.0,654.0,116.0,26.684,47.848,37.009,19.526,33.933,120.463,150.588,15.209,40.809
1721.0,642.0,494.0,146.0,193.0,563.0,472.0,1216.0,1074.0,1165.0,96.3,821.0,644.0,117.0,24.891,46.384,40.314,20.07,35.401,126.348,152.122,15.523,43.27
2073.0,740.0,535.0,158.0,217.0,610.0,595.0,1170.0,1110.0,1215.0,122.3,1014.0,717.0,120.0,28.604,51.321,43.1,21.608,41.733,120.886,160.237,15.762,42.103
1659.0,555.0,398.0,129.0,177.0,516.0,424.0,881.0,686.0,999.0,56.0,770.0,579.0,110.0,23.374,49.377,44.19,21.102,30.382,104.048,131.655,11.564,42.736
1769.0,630.0,450.0,155.0,192.0,551.0,466.0,927.0,835.0,949.0,67.0,826.0,520.0,109.0,26.237,46.953,38.443,20.59,35.223,120.214,151.898,15.92,43.852
1714.0,615.0,399.0,146.0,181.0,561.0,410.0,1073.0,890.0,1066.0,77.0,834.0,609.0,103.0,26.038,46.815,39.609,19.986,35.847,110.242,147.712,13.827,42.693
1708.0,583.0,438.0,141.0,191.0,547.0,455.0,1037.0,805.0,965.0,68.7,807.0,540.0,101.0,25.536,45.463,40.325,20.397,37.042,113.101,148.345,14.076,44.865
1665.0,585.0,416.0,140.0,187.0,542.0,410.0,1046.0,790.0,880.0,63.2,787.0,530.0,107.0,25.292,49.257,39.251,17.586,35.234,117.511,138.387,13.212,35.702
1597.0,538.0,405.0,146.0,180.0,532.0,425.0,908.0,694.0,950.0,54.7,782.0,553.0,107.0,23.883,50.09,42.5,19.461,33.092,107.031,138.647,14.964,38.853
1676.0,585.0,441.0,144.0,181.0,543.0,427.0,994.0,752.0,1092.0,73.9,769.0,652.0,112.0,28.255,46.35,36.937,17.657,37.497,107.835,134.546,12.562,38.095
1636.0,589.0,437.0,146.0,194.0,553.0,448.0,998.0,818.0,1030.0,68.2,761.0,588.0,109.0,25.883,44.935,35.807,16.696,35.817,128.018,155.749,12.525,37.156
1703.0,597.0,421.0,142.0,191.0,547.0,432.0,893.0,781.0,991.0,64.2,813.0,554.0,116.0,26.206,49.609,39.221,18.42,32.48,112.579,137.375,13.297,37.131
1715.0,635.0,453.0,153.0,193.0,579.0,472.0,1131.0,980.0,1162.0,93.8,800.0,671.0,129.0,30.338,54.855,48.513,22.411,34.878,123.321,156.276,17.083,40.855
1689.0,591.0,475.0,150.0,191.0,558.0,462.0,1185.0,1009.0,1018.0,94.6,764.0,565.0,120.0,29.337,51.972,41.685,19.64,41.29,137.367,152.639,12.806,37.789
1539.0,541.0,417.0,151.0,193.0,571.0,427.0,1003.0,808.0,935.0,62.2,712.0,537.0,107.0,24.66,46.309,38.772,16.412,36.565,111.798,144.23,8.884,35.44
