Stature,Head height,Head breadth,Head depth,Head circumference,Body mass,Face length,Face width,Face length long,Lower face length,Intercanthal width,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Width of mouth,Height of chin,Face length short,Sellion promentale length
1290.0,201.0,153.0,184.0,531.0,26.0,111.89,106.0,97.03,61.12,33.71,21.78,35.91,23.73,15.392,30.43,37.78,25.46,71.57,83.77
1125.0,192.0,138.0,177.0,507.0,21.0,111.83,107.0,98.97,60.78,33.53,22.69,38.19,26.71,13.599,27.3,35.22,28.48,70.49,81.99
1141.0,196.0,145.0,179.0,507.0,18.0,114.16,104.0,97.11,58.44,32.47,20.57,38.67,28.43,13.013,26.05,31.44,26.27,70.84,80.84
1176.0,196.0,138.0,178.0,515.0,20.0,111.59,104.0,95.34,58.62,30.51,20.52,36.72,24.1,14.921,27.91,34.31,28.29,67.05,76.41
1134.0,175.0,134.0,171.0,496.0,19.8,105.31,100.0,92.66,57.56,31.72,21.82,35.1,22.13,15.679,25.89,35.51,26.06,66.6,76.17
1068.0,208.0,147.0,188.0,530.0,19.5,111.91,111.0,95.91,58.21,35.5,22.12,37.7,25.88,14.02,29.0,36.07,24.12,71.79,80.4
1211.0,206.0,143.0,190.0,522.0,25.0,107.43,108.0,95.47,59.27,36.68,24.64,36.2,23.57,16.011,32.35,42.61,25.74,69.73,78.71
1202.0,193.0,145.0,175.0,510.0,24.0,103.83,108.0,93.15,56.66,32.11,21.56,36.49,23.7,15.68,27.14,42.59,26.06,67.09,76.14
1198.0,194.0,142.0,180.0,510.0,20.5,109.75,103.0,95.35,54.52,33.01,19.92,40.83,27.36,16.652,27.93,33.29,24.76,70.59,79.1
1280.0,194.0,136.0,184.0,522.0,24.5,112.32,103.0,98.57,57.49,33.31,22.61,41.08,28.16,15.984,30.88,45.19,25.59,72.98,80.31
1108.0,179.0,141.0,177.0,507.0,18.0,105.11,100.0,91.53,55.43,30.48,19.75,36.1,22.1,17.124,26.98,37.99,23.5,68.03,76.47
1189.0,207.0,153.0,168.0,507.0,19.5,108.34,108.0,93.22,57.09,33.26,21.41,36.13,24.54,13.216,29.6,39.75,25.9,67.32,77.04
